entityid,TYPE,NAME,ADDRESS,LOCATION,LATITUDE,LONGITUDE
,WASCANA CENTRE,KRAMER IMAX THEATRE,2901 POWERHOUSE DRIVE,WASCANA CENTRE,50.432836728,-104.593878854
,BALL DIAMOND,RAMBLER PARK  SLO PITCH SW - BALL DIAMOND,5215 13TH AVENUE,RAMBLER PARK  SLO PITCH SW,50.4433225020001,-104.661676463
,SEASONAL WASHROOM,MOUNT PLEASANT SOCCER WASHROOM - SEASONAL WASHROOM,750 N WINNIPEG STREET,MOUNT PLEASANT SOCCER WASHROOM,50.4898006820001,-104.596984818
,PUBLIC HIGH SCHOOL,SHELDON-WILLIAMS COLLEGIATE - PUBLIC HIGH SCHOOL,2601 CORONATION STREET,SHELDON-WILLIAMS COLLEGIATE - PUBLIC HIGH SCHOOL,50.4364135470001,-104.634732957
,BALL DIAMOND,STEWART RUSSELL SCHOOL CENTRAL - BALL DIAMOND BS #91,1912 E 7TH AVENUE,STEWART RUSSELL SCHOOL CENTRAL,50.4595651130001,-104.556012365
,BASKETBALL,HENRY BRAUN SCHOOL - BASKETBALL,710 GRAHAM ROAD,HENRY BRAUN SCHOOL,50.4617497690001,-104.534373783
,REC_NBHD FACILITY,NORTHWEST LEISURE CENTRE - REC_NBHD FACILITY,1127 N ARNASON STREET,NORTHWEST LEISURE CENTRE,50.4954587110001,-104.67964139
,PLAYGROUND,ST. CATHERINE SCHOOL - PLAYGROUND 150 BROTHERTON AVE,150 BROTHERTON AVENUE,ST. CATHERINE SCHOOL,50.4527308600001,-104.554346789
,UNIVERSITY OF REGINA,PHYSICAL ACTIVITY CENTRE,3769 WASCANA PARKWAY,UNIVERSITY OF REGINA,50.417236357,-104.586938263
,PLAYGROUND,VICTORIA PARK - PLAYGROUND 2190 VICTORIA AVE,2190 VICTORIA AVENUE,VICTORIA PARK,50.4474602100001,-104.611673311
,BALL DIAMOND,MACNEILL SCHOOL - BALL DIAMOND BS #215,6215 WHELAN DRIVE,MACNEILL SCHOOL,50.497984505,-104.670228152
,PLAYGROUND,WASCANA PARK - CANDY CANE  - PLAYGROUND WASCANA CENTRE,601 19TH AVENUE,WASCANA PARK - CANDY CANE,50.4337946430001,-104.588422783
,BALL DIAMOND,LES SHERMAN PARK NORTH - BALL DIAMOND BS #180,2404 ELPHINSTONE STREET,LES SHERMAN PARK NORTH,50.4402488690001,-104.633929954
,OUTDOOR RINK BOARDED,GOCKI PARK - OUTDOOR RINK BOARDED,2230 LINDSAY STREET,GOCKI PARK,50.443499435,-104.587548226
,MALL,CORNWALL CENTRE,2102 11TH AVENUE,CORNWALL CENTRE,50.4510822820001,-104.611255565
,PARK WATER FEATURE,KIWANIS WATERFALL PARK - PARK WATER FEATURE,2755 ELPHINSTONE STREET,KIWANIS WATERFALL PARK,50.4354576440001,-104.628802871
,PLAYGROUND,CAEN PARK - PLAYGROUND 3010 PRINCESS ST,3010 PRINCESS STREET,CAEN PARK,50.4313372110001,-104.636623573
,ATHLETIC FIELD,LORIMER PARK - ATHLETIC FIELD SOCCER ATHLETIC FIELD,19 LORIMER CRESCENT,LORIMER PARK,50.4814483820001,-104.637514522
,ATHLETIC FIELD,W.H. FORD PASSIVE - ATHLETIC FIELD,6129 DALGLIESH DRIVE,W.H. FORD PASSIVE,50.49113127,-104.670687402
,OUTDOOR RINK UNBOARDED,M.J. COLDWELL PARK - OUTDOOR RINK UNBOARDED,115 FAIRVIEW ROAD,M.J. COLDWELL PARK,50.49058532,-104.610748694
,OUTDOOR TENNIS,CAMPBELL COLLEGIATE - OUTDOOR TENNIS,102 MASSEY ROAD,CAMPBELL COLLEGIATE,50.4129878940001,-104.612172102
,BASKETBALL,ST. PIUS SCHOOL - BASKETBALL,3301 GARNET STREET,ST. PIUS SCHOOL,50.4269056940001,-104.625709914
,INDOOR TENNIS,REGINA SPORTPLEX - INDOOR TENNIS,1717 ELPHINSTONE STREET,REGINA SPORTPLEX,50.4506729230001,-104.630116541
,INDOOR POOL,SANDRA SCHMIRLER LEISURE CENTRE - INDOOR POOL,3130 E WOODHAMS DRIVE,SANDRA SCHMIRLER LEISURE CENTRE,50.4296647790001,-104.535472829
,ATHLETIC FIELD,WASCANA SCHOOL - ATHLETIC FIELD SOCCER ATHLETIC FIELD,4210 4TH AVENUE,WASCANA SCHOOL,50.464229979,-104.642138877
,BALL DIAMOND,ST. MARY SCHOOL S - BALL DIAMOND,140 N MCINTOSH STREET,ST. MARY SCHOOL S,50.4776718680001,-104.655233658
,BALL DIAMOND,CRESCENT PARK - BALL DIAMOND BS #94,1109 E 14TH AVENUE,CRESCENT PARK,50.4416527590001,-104.568392983
,WASCANA CENTRE,WASCANA REHABILITATION CENTRE,2180 23RD AVENUE,WASCANA CENTRE,50.425189672,-104.610933678
,PLAYGROUND,STAN OXELGREN PARK - PLAYGROUND 126 SANGSTER BLVD,126 SANGSTER BOULEVARD,STAN OXELGREN PARK,50.4894236640001,-104.635105823
,FIRE,FIRE HALL NO. 5,2700 E ARENS ROAD,HAROLD T. BUTTON FIRE HALL,50.44071954,-104.544830509
,PLAYGROUND,SCHWEITZER PARK - PLAYGROUND 2715 HELMSING ST,2715 HELMSING STREET,SCHWEITZER PARK,50.4359547390001,-104.538017725
,BALL DIAMOND,ALBERT SCOTT/SCOTT COLLEGIATE NE - BALL DIAMOND BS #140,3355 6TH AVENUE,ALBERT SCOTT/SCOTT COLLEGIATE NE,50.459669487,-104.62852686
,OUTDOOR RINK UNBOARDED,MCNAB PARK - OUTDOOR RINK UNBOARDED,4802 11TH AVENUE,MCNAB PARK,50.449476588,-104.647058087
,BASKETBALL,ST. MARGUERITE BOURGEOYS SCHOOL - BASKETBALL,2910 E SHOOTER DRIVE,ST. MARGUERITE BOURGEOYS SCHOOL,50.4364591390001,-104.541357784
,ATHLETIC FIELD,MOUNT PLEASANT MINI PITCH - ATHLETIC FIELD SOCCER ATHLETIC FIELD,750 N WINNIPEG STREET,MOUNT PLEASANT MINI PITCH,50.486725129,-104.596506679
,PLAYGROUND,ALBERT SCHOOL - PLAYGROUND 1340 ROBINSON ST,1340 ROBINSON STREET,ALBERT SCHOOL,50.457470361,-104.624881253
,PLAYGROUND,REGENT POOL PARK - PLAYGROUND 560 ELPHINSTONE ST,560 ELPHINSTONE STREET,REGENT POOL PARK,50.4702569620001,-104.633860022
,SEPARATE HIGH SCHOOL,DR. MARTIN LEBOLDUS HIGH SCHOOL - SEPARATE HIGH SCHOOL,2330 25TH AVENUE,DR. MARTIN LEBOLDUS HIGH SCHOOL - SEPARATE HIGH SCHOOL,50.420000299,-104.614503712
,BASKETBALL,MCLURG SCHOOL - BASKETBALL,125 PAYNTER CRESCENT,MCLURG SCHOOL,50.4725323110001,-104.680223261
,OUTDOOR RINK SHELTER,KEN JENKINS SCHOOL - OUTDOOR RINK SHELTER,5382 2ND AVENUE N,KEN JENKINS SCHOOL,50.4732784670001,-104.657125949
,BASKETBALL,HOLY ROSARY SCHOOL - BASKETBALL,2160 CAMERON STREET,HOLY ROSARY SCHOOL,50.4445361000001,-104.626558813
,MALL,NORTHGATE MALL,353 N ALBERT STREET,NORTHGATE MALL,50.4829506360001,-104.61531299
,BASKETBALL,DR. FERGUSON PARK - BASKETBALL,129 BROTHERTON AVENUE,DR. FERGUSON PARK,50.452145681,-104.555903858
,PLAYGROUND,REGINA RUGBY FIELDS - PLAYGROUND 4025 25TH AVE,4025 25TH AVENUE,REGINA RUGBY FIELDS,50.417344385,-104.638822079
,BASKETBALL,CORONATION PARK SCHOOL - BASKETBALL,3105 4TH AVENUE N,CORONATION PARK SCHOOL,50.4747692550001,-104.625314282
,BALL DIAMOND,SHEPPARD PARK/ST. PHILLIP - BALL DIAMOND BS #262,20 SHEPPARD STREET,SHEPPARD PARK/ST. PHILLIP,50.479918108,-104.625003764
,BALL DIAMOND,PACERS SPORTS PARK  MOSQUITO 2 - BALL DIAMOND,5000 E ARCOLA AVENUE,PACERS SPORTS PARK  MOSQUITO 2,50.4134634150001,-104.504843271
,OUTDOOR TENNIS,LAKEWOOD PARK - OUTDOOR TENNIS,6024 WHELAN DRIVE,LAKEWOOD PARK,50.4994118710001,-104.66801334
,OUTDOOR RINK UNBOARDED,MCLURG SCHOOL PARK - OUTDOOR RINK UNBOARDED,201 FULTON DRIVE,MCLURG SCHOOL PARK,50.4727851360001,-104.677516333
,BALL DIAMOND,RUTH BUCK PARK - BALL DIAMOND,6310 7TH AVENUE N,RUTH BUCK PARK,50.4771849900001,-104.670658383
,PLAYGROUND,GARUIK PARK - PLAYGROUND 281 TRIFUNOV CRES,281 TRIFUNOV CRESCENT,GARUIK PARK,50.491834162,-104.638217208
,REC_NBHD FACILITY,EASTVIEW NEIGHBOURHOOD CENTRE - REC_NBHD FACILITY,615 6TH AVENUE,EASTVIEW NEIGHBOURHOOD CENTRE,50.4596046790001,-104.589434968
,SIAST CAMPUS,SIAST BUILDING,4500 WASCANA PARKWAY,SIAST CAMPUS,50.4081147460001,-104.581809771
,PLAYGROUND,ETHEL MILLIKEN SCHOOL - PLAYGROUND 4510 QUEEN ST,4510 QUEEN STREET,ETHEL MILLIKEN SCHOOL,50.4080188070001,-104.637256196
,SEPARATE ELEMENTARY SCHOOL,ST. JOAN OF ARC - SEPARATE ELEMENTARY SCHOOL,10 DEMPSEY AVENUE,ST. JOAN OF ARC - SEPARATE ELEMENTARY SCHOOL,50.476492588,-104.66882335
,BASKETBALL,GEORGE LEE SCHOOL - BASKETBALL,180 WELLS STREET,GEORGE LEE SCHOOL,50.4889817550001,-104.647582246
,BASKETBALL,GLEN ELM SCHOOL - BASKETBALL,1225 E 9TH AVENUE,GLEN ELM SCHOOL,50.4528885650001,-104.565970567
,OTHER SCHOOL,UNIVERSITY OF REGINA - CAMPION COLLEGE,3769 WASCANA PARKWAY,UNIVERSITY OF REGINA - CAMPION COLLEGE,50.418539175,-104.586936521
,PLAYGROUND,MCMURCHY PARK - PLAYGROUND 250 N GARNET ST,250 N GARNET STREET,MCMURCHY PARK,50.4799503130001,-104.627713408
,BALL DIAMOND,QUEEN'S PARK/CORONATION - BALL DIAMOND BS #247,2925 4TH AVENUE N,QUEEN'S PARK/CORONATION,50.4753964820001,-104.623022097
,BALL DIAMOND,ST. FRANCIS SCHOOL SW - BALL DIAMOND BS #143,45 MIKKELSON DRIVE,ST. FRANCIS SCHOOL SW,50.4642997380001,-104.666486393
,BALL DIAMOND,DOUGLAS PARK (COSMOS) - BALL DIAMOND BS #103,3025 MCDONALD STREET,DOUGLAS PARK (COSMOS),50.4289308820001,-104.579409416
,OUTDOOR RINK SHELTER,WILFRED WALKER SCHOOL - OUTDOOR RINK SHELTER,1910 E WAGMAN DRIVE,WILFRED WALKER SCHOOL,50.4404284000001,-104.556047567
,PLAYGROUND,MAPLE LEAF PARK - PLAYGROUND 1120 14TH AVE,1120 14TH AVENUE,MAPLE LEAF PARK,50.4444800000001,-104.597256338
,PLAYGROUND,SHERWOOD PARK - PLAYGROUND 20 WAKEFIELD CRES,20 WAKEFIELD CRESCENT,SHERWOOD PARK,50.479521849,-104.648129695
,ATHLETIC FIELD,RUGBY PARK SOUTHEAST MULTI - ATHLETIC FIELD MULTI-USE ATHLETIC FIELD,4025 25TH AVENUE,RUGBY PARK SOUTHEAST MULTI,50.416547284,-104.635723631
,PLAYGROUND,HUDSON PARK - PLAYGROUND 3890 PARLIAMENT AVE,3890 PARLIAMENT AVENUE,HUDSON PARK,50.4157458700001,-104.633083386
,OUTDOOR RINK SHELTER,A.E. WILSON PARK (WEST) - OUTDOOR RINK SHELTER,1010 MCCARTHY BOULEVARD,A.E. WILSON PARK (WEST),50.4603943210001,-104.676042099
,PLAYGROUND,ENGLEWOOD PARK - PLAYGROUND 165 PETERSMEYER ST,165 PETERSMEYER STREET,ENGLEWOOD PARK,50.4925948090001,-104.621727065
,UNIVERSITY OF REGINA,DAY CARE,3769 WASCANA PARKWAY,UNIVERSITY OF REGINA,50.4177569660001,-104.592164345
,FIRE,FIRE HALL NO. 6,303 RINK AVENUE,OMAR DIXON FIRE HALL,50.4878466690001,-104.661143244
,PLAYGROUND,ST. ANDREW SCHOOL - PLAYGROUND 535 E DOUGLAS AVE,535 E DOUGLAS AVENUE,ST. ANDREW SCHOOL,50.4324482530001,-104.57611753
,OUTDOOR RINK SHELTER,CORONATION PARK SCHOOL - OUTDOOR RINK SHELTER,3105 4TH AVENUE N,CORONATION PARK SCHOOL,50.475500014,-104.623977627
,BALL DIAMOND,COLUMBUS PARK SSE - BALL DIAMOND BS #58,3110 PASQUA STREET,COLUMBUS PARK SSE,50.430421906,-104.641265452
,SPRAYPAD,PARKRIDGE PARK - SPRAYPAD 1243 ROSSIE DR  @7TH AVE,1243 ROSSIE DRIVE,PARKRIDGE PARK,50.460386697,-104.532971961
,PLAYGROUND,CORE COMMUNITY PARK - PLAYGROUND 1801 MONTREAL ST,1205 11TH AVENUE,CORE COMMUNITY PARK,50.4500011390001,-104.598105816
,MALL,NORMANVIEW MALL,350 N MCCARTHY BOULEVARD,NORMANVIEW MALL,50.4824899870001,-104.666630093
,BALL DIAMOND,ARCOLA SCHOOL - BALL DIAMOND BS #61,2301 ABBOTT ROAD,ARCOLA SCHOOL,50.443118401,-104.576567733
,PUBLIC ELEMENTARY SCHOOL,DR. A. E. PERRY - PUBLIC ELEMENTARY SCHOOL,93 LINCOLN DRIVE,DR. A. E. PERRY - PUBLIC ELEMENTARY SCHOOL,50.4022905200001,-104.631934248
,BALL DIAMOND,RAMBLER PARK  SLO PITCH SEE - BALL DIAMOND BS #184 SLO PITCH SSE,5215 13TH AVENUE,RAMBLER PARK  SLO PITCH SEE,50.4429899360001,-104.657554485
,ATHLETIC FIELD,GLENCAIRN MULTI - ATHLETIC FIELD MULTI-USE ATHLETIC FIELD,2626 E DEWDNEY AVENUE,GLENCAIRN MULTI,50.456805552,-104.543511157
,PLAYGROUND,ARBOR GROVE PARK - PLAYGROUND 3436 OLIVE GROVE,3436 OLIVE GROVE,ARBOR GROVE PARK,50.42531117,-104.533307705
,OUTDOOR RINK SHELTER,GRASSICK PLAYGROUND - OUTDOOR RINK SHELTER,901 GARNET STREET,GRASSICK PLAYGROUND,50.4643627950001,-104.626056054
,BALL DIAMOND,MCNAB PARK - BALL DIAMOND BS #136,4802 11TH AVENUE,MCNAB PARK,50.4503277210001,-104.646942317
,MALL,SHERWOOD MALL,5875 ROCHDALE BOULEVARD,SHERWOOD MALL,50.4950746280001,-104.665647321
,ATHLETIC FIELD,MCNAB PARK - ATHLETIC FIELD SOCCER ATHLETIC FIELD,4802 11TH AVENUE,MCNAB PARK,50.4499014840001,-104.647561108
,OUTDOOR RINK SHELTER,STAN OXELGREN PARK - OUTDOOR RINK SHELTER,126 SANGSTER BOULEVARD,STAN OXELGREN PARK,50.4899590480001,-104.633608278
,PUBLIC ELEMENTARY SCHOOL,WILFRED WALKER - PUBLIC ELEMENTARY SCHOOL,2102 E WAGMAN DRIVE,WILFRED WALKER - PUBLIC ELEMENTARY SCHOOL,50.4399245920001,-104.553068304
,ATHLETIC FIELD,WESTHILL PARK - ATHLETIC FIELD SOCCER ATHLETIC FIELD,8103 SHERWOOD DRIVE,WESTHILL PARK,50.4804352040001,-104.69923806
,PLAYGROUND,CLERMONT PARK - PLAYGROUND 169 CANNON ST,169 CANNON STREET,CLERMONT PARK,50.4571671690001,-104.551509462
,OUTDOOR RINK BOARDED,M.J. COLDWELL PARK - OUTDOOR RINK BOARDED,115 FAIRVIEW ROAD,M.J. COLDWELL PARK,50.4902030200001,-104.610733445
,ATHLETIC FIELD,F.W. JOHNSON MULTI - ATHLETIC FIELD MULTI-USE ATHLETIC FIELD,400 FINES DRIVE,F.W. JOHNSON MULTI,50.4502650950001,-104.546192578
,BALL DIAMOND,HENRY BRAUN PARK E - BALL DIAMOND BS #112,3520 E 7TH AVENUE,HENRY BRAUN PARK E,50.461665655,-104.53284067
,PLAYGROUND,ST. BERNADETTE SCHOOL - PLAYGROUND 727 N MCINTOSH ST,727 N MCINTOSH STREET,ST. BERNADETTE SCHOOL,50.4887538520001,-104.652292851
,OUTDOOR RINK SHELTER,CRESCENT PARK - OUTDOOR RINK SHELTER,1109 E 14TH AVENUE,CRESCENT PARK,50.4413914520001,-104.567320035
,OUTDOOR RINK SHELTER,LAKEVIEW PARK - OUTDOOR RINK SHELTER,2910 ATHOL STREET,LAKEVIEW PARK,50.43187534,-104.628501307
,SEPARATE ELEMENTARY SCHOOL,ST. JEROME - SEPARATE ELEMENTARY SCHOOL,770 RINK AVENUE,ST. JEROME - SEPARATE ELEMENTARY SCHOOL,50.4884680060001,-104.681783954
,MALL,SOUTHLAND MALL,2715 GORDON ROAD,SOUTHLAND MALL,50.4027574130001,-104.622712265
,OUTDOOR RINK UNBOARDED,DR. FERGUSON PARK - OUTDOOR RINK UNBOARDED,129 BROTHERTON AVENUE,DR. FERGUSON PARK,50.4520739180001,-104.555617561
,ATHLETIC FIELD,OPTIMIST PARK MULTI - ATHLETIC FIELD MULTI-USE ATHLETIC FIELD,5221 DEWDNEY AVENUE,OPTIMIST PARK MULTI,50.453741268,-104.655012005
,BASKETBALL,MCDERMID SCHOOL - BASKETBALL,139 TORONTO STREET,MCDERMID SCHOOL,50.476407399,-104.598269784
,BASKETBALL,SCHWEITZER PARK - BASKETBALL,2715 HELMSING STREET,SCHWEITZER PARK,50.436075923,-104.538173591
,PLAYGROUND,WASCANA CREEK PARK - PLAYGROUND 3910 PRINCE OF WALES DR,3910 PRINCE OF WALES DRIVE,WASCANA CREEK PARK,50.41836148,-104.547400235
,PLAYGROUND,ST. FRANCIS SCHOOL SE - PLAYGROUND 45 MIKKELSON DR,45 MIKKELSON DRIVE,ST. FRANCIS SCHOOL SE,50.4649741760001,-104.665077139
,PLAYGROUND,PLAINSVIEW PARK - PLAYGROUND 61 PLAINSVIEW DR,61 PLAINSVIEW DRIVE,PLAINSVIEW PARK,50.39878014,-104.622101612
,OUTDOOR RINK SHELTER,NORTHWEST LEISURE CENTRE - OUTDOOR RINK SHELTER,6829 CUNNINGHAM DRIVE,NORTHWEST LEISURE CENTRE,50.4960821590001,-104.679457678
,BALL DIAMOND,PACERS SPORTS PARK  BANTAM - BALL DIAMOND,5000 E ARCOLA AVENUE,PACERS SPORTS PARK  BANTAM,50.413470079,-104.506411586
,OUTDOOR RINK UNBOARDED,LAKEVIEW PARK - OUTDOOR RINK UNBOARDED,2910 ATHOL STREET,LAKEVIEW PARK,50.432187205,-104.629139142
,BASKETBALL,WOODLAND GROVE PARK - BASKETBALL,3507 ARBOR GROVE DRIVE,WOODLAND GROVE PARK,50.4236974940001,-104.530496401
,ATHLETIC FIELD,THOMSON SCHOOL - ATHLETIC FIELD SOCCER ATHLETIC FIELD,2033 TORONTO STREET,THOMSON SCHOOL,50.445878109,-104.59839733
,BALL DIAMOND,NORTH EAST PARK N - BALL DIAMOND BS #280 (AKA=REGINA MINOR GIRLS BALL),1925 9TH AVENUE N,NORTH EAST PARK N,50.4840508760001,-104.608329465
,ATHLETIC FIELD,RUTH PAWSON SCHOOL - ATHLETIC FIELD SOCCER ATHLETIC FIELD,40 WEEKES CRESCENT,RUTH PAWSON SCHOOL,50.496751471,-104.605675184
,BALL DIAMOND,RAMBLER PARK  FASTBALL SEE - BALL DIAMOND,5215 13TH AVENUE,RAMBLER PARK  FASTBALL SEE,50.4432857880001,-104.653929882
,LIBRARY,SUNRISE BRANCH LIBRARY,3130 E WOODHAMS DRIVE,SUNRISE BRANCH LIBRARY,50.4296279200001,-104.536013944
,PLAYGROUND,LAKEWOOD PARK - PLAYGROUND 6024 WHELAN DR,6024 WHELAN DRIVE,LAKEWOOD PARK,50.499707888,-104.668234431
,OUTDOOR RINK UNBOARDED,W.S. HAWRYLAK SCHOOL - OUTDOOR RINK UNBOARDED,2530 E ASSINIBOINE AVENUE,W.S. HAWRYLAK SCHOOL,50.4224872200001,-104.54840969
,BALL DIAMOND,SACRED HEART SCHOOL - BALL DIAMOND,1314 ELPHINSTONE STREET,SACRED HEART SCHOOL,50.4581282290001,-104.632365074
,OUTDOOR RINK UNBOARDED,GLEN ELM PARK - OUTDOOR RINK UNBOARDED,1601 BOND STREET,GLEN ELM PARK,50.4530085170001,-104.567261734
,OUTDOOR RINK UNBOARDED,WESTHILL/JOANNE GOULET - OUTDOOR RINK UNBOARDED,8045 KESTRAL DRIVE,WESTHILL/JOANNE GOULET,50.4781466580001,-104.696739105
,REC_NBHD FACILITY,CORE RITCHIE NEIGHBOURHOOD CENTRE - REC_NBHD FACILITY,2230 LINDSAY STREET,CORE RITCHIE NEIGHBOURHOOD CENTRE,50.4435108280001,-104.586720175
,PLAYGROUND,NEW ALBERT PARK - PLAYGROUND 5002 MCTAVISH ST,5002 MCTAVISH STREET,NEW ALBERT PARK,50.398448531,-104.634951682
,ATHLETIC FIELD,LESLIE LAWNBOWLING PARK GREEN "D" (EAST END) - ATHLETIC FIELD MULTI-USE ATHLETIC FIELD,3820 VICTORIA AVENUE,LESLIE LAWNBOWLING PARK GREEN "D" (EAST END),50.4475609460001,-104.635665548
,BALL DIAMOND,TRANSCONA PLAYGROUND - BALL DIAMOND BS #162,725 EMPRESS STREET,TRANSCONA PLAYGROUND,50.46547293,-104.652859812
,PLAYGROUND,JOLLY PARK - PLAYGROUND 2714 E SWAIN PL,2714 E SWAIN PLACE,JOLLY PARK,50.435997462,-104.544759767
,OUTDOOR RINK UNBOARDED,MCMURCHY PARK - OUTDOOR RINK UNBOARDED,250 N GARNET STREET,MCMURCHY PARK,50.4802841090001,-104.628219073
,PUBLIC ELEMENTARY SCHOOL,MARION MCVEETY - PUBLIC ELEMENTARY SCHOOL,38 TURGEON CRESCENT,MARION MCVEETY - PUBLIC ELEMENTARY SCHOOL,50.4202215270001,-104.605537293
,PLAYGROUND,EASTGATE PARK PR2 - PLAYGROUND 3502 E EASTGATE DR,3502 E EASTGATE DRIVE,EASTGATE PARK PR2,50.4532560480001,-104.534730394
,REC_NBHD FACILITY,NEIL BALKWILL CIVIC ARTS CENTRE - REC_NBHD FACILITY,2404 ELPHINSTONE STREET,NEIL BALKWILL CIVIC ARTS CENTRE,50.4405036270001,-104.632798071
,PLAYGROUND,DAFFODIL PARK - PLAYGROUND 2128 DUFFERIN RD,2128 DUFFERIN ROAD,DAFFODIL PARK,50.4040950980001,-104.607291919
,ATHLETIC FIELD,ACADEMY PARK - ATHLETIC FIELD SOCCER ATHLETIC FIELD,2 ACADEMY PARK ROAD,ACADEMY PARK,50.409553229,-104.605792912
,BALL DIAMOND,PRINCE WILLIAM/JACK MACKENZIE SCHOOL - BALL DIAMOND,3860 BUCKINGHAM DRIVE,PRINCE WILLIAM/JACK MACKENZIE SCHOOL,50.430162668,-104.529540994
,PLAYGROUND,ARCOLA SCHOOL - PLAYGROUND 2315 ABBOTT RD,2315 ABBOTT ROAD,ARCOLA SCHOOL,50.4422979810001,-104.576739187
,PLAYGROUND,ROCHDALE PARK - PLAYGROUND 6829 CUNNINGHAM DR,6829 CUNNINGHAM DRIVE,ROCHDALE PARK,50.4957047770001,-104.679290781
,PLAYGROUND,COLEMAN PARK - PLAYGROUND 220 FINES DR,220 FINES DRIVE,COLEMAN PARK,50.449621403,-104.542854272
,BALL DIAMOND,F.W. JOHNSON HIGH SCHOOL - BALL DIAMOND,400 FINES DRIVE,F.W. JOHNSON HIGH SCHOOL,50.4513673880001,-104.547919321
,BASKETBALL,DR. HANNA SCHOOL - BASKETBALL,55 DAVIN CRESCENT,DR. HANNA SCHOOL,50.489649549,-104.630128242
,ATHLETIC FIELD,EASTVIEW PARK - ATHLETIC FIELD SOCCER ATHLETIC FIELD,945 BRODER STREET,EASTVIEW PARK,50.464483306,-104.590242925
,BASKETBALL,M.J. COLDWELL SCHOOL - BASKETBALL,103 FAIRVIEW ROAD,M.J. COLDWELL SCHOOL,50.490788325,-104.611996616
,BASKETBALL,JUDGE BRYANT SCHOOL - BASKETBALL,2828 E DEWDNEY AVENUE,JUDGE BRYANT SCHOOL,50.4561331900001,-104.542565791
,BALL DIAMOND,KIWANIS WATERFALL PARK SE - BALL DIAMOND BS #48,2755 ELPHINSTONE STREET,KIWANIS WATERFALL PARK SE,50.4373142150001,-104.62906972
,REC_NBHD FACILITY,NORTH EAST COMMUNITY CENTRE - REC_NBHD FACILITY,120 BROAD STREET,NORTH EAST COMMUNITY CENTRE,50.4763620850001,-104.607036038
,OUTDOOR TENNIS,MAHON - OUTDOOR TENNIS,130 BROTHERTON AVENUE,MAHON,50.4534214660001,-104.555049967
,OTHER SCHOOL,UNIVERSITY OF REGINA - WASCANA PARKWAY CAMPUS,3769 WASCANA PARKWAY,UNIVERSITY OF REGINA - WASCANA PARKWAY CAMPUS,50.4191477830001,-104.590341906
,OUTDOOR RINK UNBOARDED,ASSINIBOINE PARK - OUTDOOR RINK UNBOARDED,3355 ROBINSON STREET,ASSINIBOINE PARK,50.4250087780001,-104.622204354
,BALL DIAMOND,SHERWOOD PARK/ELSIE MIRONUCK - BALL DIAMOND BS #203,20 WAKEFIELD CRESCENT,SHERWOOD PARK/ELSIE MIRONUCK,50.4798965300001,-104.649196676
,OUTDOOR RINK SHELTER,RUTH PAWSON SCHOOL - OUTDOOR RINK SHELTER,40 WEEKES CRESCENT,RUTH PAWSON SCHOOL,50.4970100610001,-104.605140785
,OUTDOOR RINK UNBOARDED,MABLE BROWN PARK - OUTDOOR RINK UNBOARDED,255 MIKKELSON DRIVE,MABLE BROWN PARK,50.4666364820001,-104.682086997
,ARENA,CLARENCE MAHON - ARENA,130 BROTHERTON AVENUE,CLARENCE MAHON,50.4528698890001,-104.555289644
,ATHLETIC FIELD,MCLURG SCHOOL PARK - ATHLETIC FIELD SOCCER ATHLETIC FIELD,201 FULTON DRIVE,MCLURG SCHOOL PARK,50.4725370500001,-104.6782183
,ATHLETIC FIELD,ROTHWELL - ATHLETIC FIELD SOCCER ATHLETIC FIELD,1201 ROTHWELL STREET,ROTHWELL,50.4587230450001,-104.569385982
,SEPARATE ELEMENTARY SCHOOL,ST. LUKE - SEPARATE ELEMENTARY SCHOOL,625 ELPHINSTONE STREET,ST. LUKE - SEPARATE ELEMENTARY SCHOOL,50.4688794960001,-104.63038649
,ATHLETIC FIELD,OAKVIEW PARK  - ATHLETIC FIELD SOCCER ATHLETIC FIELD,84 OAKVIEW DRIVE,OAKVIEW PARK,50.4878570580001,-104.613665815
,BASKETBALL,REGINA CHRISTIAN SCHOOL - BASKETBALL,2505 23RD AVENUE,REGINA CHRISTIAN SCHOOL,50.4227051760001,-104.616740982
,OUTDOOR RINK SHELTER,MIKE BADHAM PARK - OUTDOOR RINK SHELTER,2606 GRANT ROAD,MIKE BADHAM PARK,50.4017344800001,-104.611412948
,PLAYGROUND,ST. ANGELA MERICI - PLAYGROUND 6823 GILLMORE DRIVE,6749 MAPLE RIDGE DRIVE,ST. ANGELA MERICI,50.5009772930001,-104.679739494
,ARENA,OPTIMIST - ARENA,222 SUNSET DRIVE,OPTIMIST,50.4091446780001,-104.633373825
,BASKETBALL,GRANT ROAD SCHOOL - BASKETBALL,2501 GRANT ROAD,GRANT ROAD SCHOOL,50.4024251370001,-104.611902987
,PUBLIC HIGH SCHOOL,SCOTT COLLEGIATE - PUBLIC HIGH SCHOOL,3350 7TH AVENUE,SCOTT COLLEGIATE - PUBLIC HIGH SCHOOL,50.4587334710001,-104.629574182
,BALL DIAMOND,WALKER SCHOOL - BALL DIAMOND BS #150,1315 CAMPBELL STREET,WALKER SCHOOL,50.457016954,-104.662225629
,PLAYGROUND,HOWELL PARK - PLAYGROUND 2705 E HOWELL DR,2705 E HOWELL DRIVE,HOWELL PARK,50.4611468410001,-104.544200368
